CASE_ID,FARM_ID,member_id,relation_type,other_relation,house_head,sex,age,highest_edu,bank_status,socialmedia,current_location,current_status,status_2021,current_monthly_income,monthly_income_2021
4806738,4625,1,1,,Yes,Male,61,Higher (master degree or PhD),Yes,Yes,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",10000 to 15000 UAH,More than 15000 UAH
4806738,4625,2,Spouse,,No,Female,66,Higher (master degree or PhD),Yes,Yes,This village,"Work based on engagement contract, author contract","Work based on engagement contract, author contract",2000 to 5000 UAH,2000 to 5000 UAH
4806738,4625,3,Daughter/Son,,No,Male,25,"Secondary special, incomplete higher (technical school, college)",Yes,Yes,Different Rayon in the same Oblast,Student,"Carrying out independent activity, profession (own business, shop, farm, free profession)",10000 to 15000 UAH,5000 to 10000 UAH
4806841,3518,1,1,,Yes,Male,58,Higher (master degree or PhD),Yes,No,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",Up to 2 000 UAH,5000 to 10000 UAH
4806841,3518,2,Spouse,,No,Female,46,Higher (master degree or PhD),No,Yes,Another village in the same Rayon,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",5000 to 10000 UAH,5000 to 10000 UAH
4806924,4001,1,1,,Yes,Male,38,Higher (master degree or PhD),Yes,No,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",10000 to 15000 UAH,10000 to 15000 UAH
4806924,4001,2,Spouse,,No,Female,37,Higher (master degree or PhD),Yes,Yes,This village,Employed by an employer (in the private or public sector),Employed by an employer (in the private or public sector),10000 to 15000 UAH,10000 to 15000 UAH
4806924,4001,3,Mother-in-law/Father-in-law,,No,Male,70,"Secondary special, incomplete higher (technical school, college)",Yes,Yes,This village,Employed by an employer (in the private or public sector),Employed by an employer (in the private or public sector),More than 15000 UAH,More than 15000 UAH
4806924,4001,4,Mother-in-law/Father-in-law,,No,Female,65,"Secondary special, incomplete higher (technical school, college)",Yes,Yes,This village,Employed by an employer (in the private or public sector),Employed by an employer (in the private or public sector),10000 to 15000 UAH,10000 to 15000 UAH
4806924,4001,5,Sister-in-law/Brother-in-law,,No,Female,35,Higher (master degree or PhD),Yes,Yes,Abroad,Unemployed (seeking for job),Employed by an employer (in the private or public sector),,10000 to 15000 UAH
4806924,4001,6,Sister-in-law/Brother-in-law,,No,Male,40,Higher (master degree or PhD),Yes,Yes,Abroad,Unemployed (seeking for job),Unemployed (seeking for job),No income,No income
4807041,2124,1,1,,Yes,Female,34,Higher (master degree or PhD),Yes,No,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",5000 to 10000 UAH,5000 to 10000 UAH
4807041,2124,2,Spouse,,No,Male,40,Higher (master degree or PhD),Yes,No,This village,Employed by an employer (in the private or public sector),Employed by an employer (in the private or public sector),10000 to 15000 UAH,10000 to 15000 UAH
4807045,2758,1,1,,No,Female,70,"Vocational school (PTU, lyceum)",Yes,No,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",2000 to 5000 UAH,5000 to 10000 UAH
4807046,2464,1,1,,No,Male,37,Higher (master degree or PhD),Yes,Yes,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",5000 to 10000 UAH,5000 to 10000 UAH
4807046,2464,2,Mother/Farther,,Yes,Male,62,"Secondary special, incomplete higher (technical school, college)",Yes,No,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",2000 to 5000 UAH,2000 to 5000 UAH
4807046,2464,3,Spouse,,No,Female,34,Higher (master degree or PhD),Yes,Yes,This village,Housewife (incl. maternity leave),Housewife (incl. maternity leave),Up to 2 000 UAH,Up to 2 000 UAH
4807046,2464,4,Mother/Farther,,No,Female,62,"Secondary special, incomplete higher (technical school, college)",Yes,Yes,This village,Pensioner,Pensioner,2000 to 5000 UAH,2000 to 5000 UAH
4807047,3317,1,1,,No,Female,62,"Vocational school (PTU, lyceum)",Yes,Yes,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",2000 to 5000 UAH,2000 to 5000 UAH
4807047,3317,2,Spouse,,Yes,Male,63,"Vocational school (PTU, lyceum)",No,No,This village,Pensioner,Pensioner,2000 to 5000 UAH,2000 to 5000 UAH
4807054,3939,1,1,,Yes,Male,72,Complete secondary school,No,No,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",2000 to 5000 UAH,Up to 2 000 UAH
4807054,3939,2,Spouse,,No,Female,63,Complete secondary school,Yes,No,This village,Pensioner,Pensioner,Up to 2 000 UAH,2000 to 5000 UAH
4807054,3939,3,Daughter/Son,,No,Male,32,Complete secondary school,Yes,Yes,This village,Housewife (incl. maternity leave),Housewife (incl. maternity leave),Up to 2 000 UAH,Up to 2 000 UAH
4807054,3939,4,Other (specify),daughter-in-law,No,Female,35,Higher (master degree or PhD),Yes,Yes,This village,Employed by an employer (in the private or public sector),Employed by an employer (in the private or public sector),10000 to 15000 UAH,10000 to 15000 UAH
4807148,2709,1,1,,Yes,Male,34,Higher (master degree or PhD),Yes,Yes,This village,"Work based on engagement contract, author contract","Carrying out independent activity, profession (own business, shop, farm, free profession)",,2000 to 5000 UAH
4807148,2709,2,Spouse,,Yes,Female,34,Higher (master degree or PhD),Yes,Yes,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)",Housewife (incl. maternity leave),No income,No income
4807376,3719,1,1,,No,Male,23,Higher (master degree or PhD),Yes,Yes,This village,Housewife (incl. maternity leave),Housewife (incl. maternity leave),10000 to 15000 UAH,10000 to 15000 UAH
4807376,3719,2,Mother/Farther,,Yes,Male,46,,No,Yes,This village,Housewife (incl. maternity leave),Housewife (incl. maternity leave),5000 to 10000 UAH,5000 to 10000 UAH
4807376,3719,3,Mother/Farther,,No,Female,44,Base higher (bachelor degree),No,Yes,This village,"Work based on engagement contract, author contract","Work based on engagement contract, author contract",No income,No income
4807376,3719,4,Sister/Brother,,No,Male,16,Complete secondary school,Yes,Yes,This village,Student,Student,No income,No income
4807497,4067,1,1,,Yes,Male,66,Higher (master degree or PhD),Yes,No,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",2000 to 5000 UAH,5000 to 10000 UAH
4807497,4067,2,Spouse,,No,Female,60,Higher (master degree or PhD),Yes,,This village,Pensioner,Employed by an employer (in the private or public sector),5000 to 10000 UAH,10000 to 15000 UAH
4807615,4053,1,1,,Yes,Male,58,"Secondary special, incomplete higher (technical school, college)",Yes,No,This village,Housewife (incl. maternity leave),Housewife (incl. maternity leave),2000 to 5000 UAH,2000 to 5000 UAH
4807615,4053,2,Spouse,,Yes,Female,55,"Secondary special, incomplete higher (technical school, college)",No,Yes,This village,Housewife (incl. maternity leave),Housewife (incl. maternity leave),No income,No income
4807675,3673,1,1,,Yes,Female,34,Higher (master degree or PhD),Yes,Yes,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",5000 to 10000 UAH,More than 15000 UAH
4807675,3673,2,Mother/Farther,,Yes,Female,52,Higher (master degree or PhD),Yes,Yes,This village,"Supporting members in the family enterprise, shop, farm","Supporting members in the family enterprise, shop, farm",2000 to 5000 UAH,More than 15000 UAH
4807675,3673,3,Sister/Brother,,No,Female,19,Complete secondary school,Yes,Yes,Abroad,"Supporting members in the family enterprise, shop, farm","Supporting members in the family enterprise, shop, farm",2000 to 5000 UAH,5000 to 10000 UAH
4807675,3673,4,Other (specify),uncle,No,Male,59,Higher (master degree or PhD),Yes,Yes,,Military service,Employed by an employer (in the private or public sector),,5000 to 10000 UAH
4807675,3673,5,Sister/Brother,,No,Male,30,Higher (master degree or PhD),Yes,Yes,This village,"Supporting members in the family enterprise, shop, farm","Supporting members in the family enterprise, shop, farm",2000 to 5000 UAH,10000 to 15000 UAH
4807891,2837,1,1,,Yes,Male,53,"Secondary special, incomplete higher (technical school, college)",Yes,Yes,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",5000 to 10000 UAH,5000 to 10000 UAH
4807891,2837,2,Daughter/Son,,No,Male,27,Higher (master degree or PhD),Yes,Yes,This village,"Supporting members in the family enterprise, shop, farm",Employed by an employer (in the private or public sector),2000 to 5000 UAH,10000 to 15000 UAH
4807891,2837,3,Spouse,,No,Female,49,Complete secondary school,Yes,No,This village,Unable to work,Unable to work,Up to 2 000 UAH,Up to 2 000 UAH
4807915,2728,1,1,,Yes,Male,45,Higher (master degree or PhD),Yes,Yes,This village,Employed by an employer (in the private or public sector),Employed by an employer (in the private or public sector),5000 to 10000 UAH,5000 to 10000 UAH
4807915,2728,2,Spouse,,No,Female,44,Complete secondary school,Yes,Yes,This village,"Supporting members in the family enterprise, shop, farm","Supporting members in the family enterprise, shop, farm",No income,2000 to 5000 UAH
4807915,2728,3,Mother/Farther,,No,Female,65,"Secondary special, incomplete higher (technical school, college)",Yes,Yes,This village,Pensioner,Pensioner,2000 to 5000 UAH,2000 to 5000 UAH
4807926,1244,1,1,,Yes,Male,62,Higher (master degree or PhD),Yes,Yes,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",5000 to 10000 UAH,5000 to 10000 UAH
4807926,1244,2,Spouse,,No,Female,60,Higher (master degree or PhD),Yes,Yes,This village,Employed by an employer (in the private or public sector),Employed by an employer (in the private or public sector),5000 to 10000 UAH,2000 to 5000 UAH
4807986,4292,1,1,,Yes,Male,50,Higher (master degree or PhD),Yes,No,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",,
4807986,4292,2,Spouse,,No,Female,47,Higher (master degree or PhD),,Yes,This village,"Work based on engagement contract, author contract","Work based on engagement contract, author contract",2000 to 5000 UAH,2000 to 5000 UAH
4808036,104,1,1,,Yes,Male,65,"Secondary special, incomplete higher (technical school, college)",Yes,No,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",More than 15000 UAH,More than 15000 UAH
4808036,104,2,Spouse,,No,Female,60,Complete secondary school,Yes,No,This village,Pensioner,Pensioner,2000 to 5000 UAH,2000 to 5000 UAH
4808119,3567,1,1,,No,Female,54,"Vocational school (PTU, lyceum)",Yes,No,This village,"Supporting members in the family enterprise, shop, farm","Supporting members in the family enterprise, shop, farm",2000 to 5000 UAH,Up to 2 000 UAH
4808119,3567,2,Spouse,,Yes,Male,55,"Vocational school (PTU, lyceum)",Yes,Yes,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",Up to 2 000 UAH,Up to 2 000 UAH
4808119,3567,3,Daughter/Son,,No,Female,32,Higher (master degree or PhD),Yes,Yes,This village,"Supporting members in the family enterprise, shop, farm","Supporting members in the family enterprise, shop, farm",No income,No income
4808119,3567,4,Other (specify),son-in-law,No,Male,34,Complete secondary school,No,No,This village,"Supporting members in the family enterprise, shop, farm","Supporting members in the family enterprise, shop, farm",No income,No income
4808348,2072,1,1,,Yes,Male,39,Higher (master degree or PhD),Yes,Yes,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",,5000 to 10000 UAH
4808348,2072,2,Spouse,,No,Female,36,Higher (master degree or PhD),Yes,Yes,Abroad,"Work based on engagement contract, author contract","Work based on engagement contract, author contract",No income,5000 to 10000 UAH
4808348,2072,3,Daughter/Son,,No,Male,17,"Vocational school (PTU, lyceum)",Yes,Yes,Abroad,Student,Student,2000 to 5000 UAH,2000 to 5000 UAH
4808677,2499,1,1,,No,Female,57,"Vocational school (PTU, lyceum)",Yes,No,This village,Housewife (incl. maternity leave),Housewife (incl. maternity leave),Up to 2 000 UAH,2000 to 5000 UAH
4808677,2499,2,Spouse,,Yes,Male,58,"Vocational school (PTU, lyceum)",Yes,No,This village,Housewife (incl. maternity leave),Housewife (incl. maternity leave),No income,No income
4808677,2499,3,Daughter/Son,,No,Female,30,Higher (master degree or PhD),Yes,,This village,Housewife (incl. maternity leave),Housewife (incl. maternity leave),No income,No income
4808965,3997,1,1,,Yes,Female,40,Higher (master degree or PhD),Yes,Yes,This village,Employed by an employer (in the private or public sector),Employed by an employer (in the private or public sector),5000 to 10000 UAH,5000 to 10000 UAH
4808965,3997,2,Spouse,,Yes,Male,50,Higher (master degree or PhD),Yes,Yes,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",,
4808965,3997,3,Daughter/Son,,No,Male,19,Complete secondary school,Yes,Yes,This village,Student,Student,No income,No income
4808967,1874,1,1,,Yes,Male,47,Higher (master degree or PhD),Yes,No,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",5000 to 10000 UAH,5000 to 10000 UAH
4808967,1874,2,Spouse,,No,Female,42,Higher (master degree or PhD),Yes,No,This village,Employed by an employer (in the private or public sector),Employed by an employer (in the private or public sector),10000 to 15000 UAH,10000 to 15000 UAH
4809059,3191,1,1,,Yes,Male,46,Higher (master degree or PhD),Yes,No,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",5000 to 10000 UAH,5000 to 10000 UAH
4809059,3191,2,Spouse,,No,Female,45,Higher (master degree or PhD),Yes,Yes,Different Rayon in the same Oblast,Housewife (incl. maternity leave),Housewife (incl. maternity leave),No income,No income
4809215,753,1,1,,Yes,Male,74,Higher (master degree or PhD),Yes,No,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",5000 to 10000 UAH,5000 to 10000 UAH
4809215,753,2,Spouse,,No,Female,60,Higher (master degree or PhD),Yes,No,This village,"Work based on engagement contract, author contract","Work based on engagement contract, author contract",10000 to 15000 UAH,
4809235,2511,1,1,,No,Male,55,"Secondary special, incomplete higher (technical school, college)",Yes,Yes,This village,"Supporting members in the family enterprise, shop, farm",Housewife (incl. maternity leave),10000 to 15000 UAH,10000 to 15000 UAH
4809235,2511,2,Spouse,,Yes,Female,53,"Secondary special, incomplete higher (technical school, college)",Yes,Yes,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",5000 to 10000 UAH,5000 to 10000 UAH
4809401,3300,1,1,,No,Male,59,"Secondary special, incomplete higher (technical school, college)",Yes,Yes,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",10000 to 15000 UAH,5000 to 10000 UAH
4809401,3300,2,Daughter/Son,,No,Female,30,Base higher (bachelor degree),Yes,Yes,This village,Student,Student,No income,No income
4809401,3300,3,Spouse,,Yes,Female,59,"Vocational school (PTU, lyceum)",Yes,Yes,This village,Housewife (incl. maternity leave),Housewife (incl. maternity leave),No income,No income
4809674,2842,1,1,,Yes,Male,67,Higher (master degree or PhD),Yes,Yes,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",No income,No income
4809674,2842,2,Spouse,,No,Female,67,Higher (master degree or PhD),Yes,No,This village,"Supporting members in the family enterprise, shop, farm","Supporting members in the family enterprise, shop, farm",2000 to 5000 UAH,2000 to 5000 UAH
4809674,2842,3,Daughter/Son,,No,Male,43,Higher (master degree or PhD),Yes,No,Different Rayon in the same Oblast,"Supporting members in the family enterprise, shop, farm","Supporting members in the family enterprise, shop, farm",2000 to 5000 UAH,2000 to 5000 UAH
4810228,3410,1,1,,Yes,Male,37,Higher (master degree or PhD),Yes,Yes,This village,"Work based on engagement contract, author contract","Work based on engagement contract, author contract",10000 to 15000 UAH,5000 to 10000 UAH
4810228,3410,2,Mother/Farther,,No,Female,61,Higher (master degree or PhD),Yes,Yes,This village,Employed by an employer (in the private or public sector),Employed by an employer (in the private or public sector),5000 to 10000 UAH,2000 to 5000 UAH
4810228,3410,3,Spouse,,No,Female,32,Higher (master degree or PhD),Yes,Yes,This village,Housewife (incl. maternity leave),Housewife (incl. maternity leave),Up to 2 000 UAH,Up to 2 000 UAH
4810238,4709,1,1,,Yes,Male,43,"Secondary special, incomplete higher (technical school, college)",Yes,Yes,This village,"Work based on engagement contract, author contract","Work based on engagement contract, author contract",10000 to 15000 UAH,5000 to 10000 UAH
4810238,4709,2,Spouse,,No,Female,43,Base higher (bachelor degree),Yes,Yes,This village,Employed by an employer (in the private or public sector),Employed by an employer (in the private or public sector),10000 to 15000 UAH,More than 15000 UAH
4810238,4709,3,Daughter/Son,,No,Female,20,Base higher (bachelor degree),Yes,Yes,This village,Student,Student,No income,No income
4810255,3012,1,1,,Yes,Male,70,Higher (master degree or PhD),Yes,No,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",5000 to 10000 UAH,5000 to 10000 UAH
4810394,3355,1,1,,Yes,Male,47,Higher (master degree or PhD),Yes,No,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",More than 15000 UAH,More than 15000 UAH
4810394,3355,2,Spouse,,No,Female,45,Higher (master degree or PhD),Yes,Yes,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",More than 15000 UAH,More than 15000 UAH
4810428,2466,1,1,,Yes,Male,64,Higher (master degree or PhD),Yes,Yes,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",More than 15000 UAH,More than 15000 UAH
4810428,2466,2,Spouse,,No,Female,63,Higher (master degree or PhD),Yes,Yes,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",More than 15000 UAH,More than 15000 UAH
4810439,3264,1,1,,Yes,Male,38,Higher (master degree or PhD),Yes,Yes,This village,"Supporting members in the family enterprise, shop, farm",Employed by an employer (in the private or public sector),No income,
4810439,3264,2,Mother/Farther,,Yes,Male,57,Complete secondary school,Yes,No,This village,Pensioner,Pensioner,Up to 2 000 UAH,Up to 2 000 UAH
4810439,3264,3,Spouse,,,Female,36,Higher (master degree or PhD),Yes,Yes,This village,Employed by an employer (in the private or public sector),Employed by an employer (in the private or public sector),5000 to 10000 UAH,5000 to 10000 UAH
4810439,3264,4,Mother/Farther,,Yes,Female,,"Secondary special, incomplete higher (technical school, college)",No,No,This village,Pensioner,Pensioner,Up to 2 000 UAH,Up to 2 000 UAH
4810455,3096,1,1,,Yes,Female,51,Higher (master degree or PhD),Yes,Yes,This village,Employed by an employer (in the private or public sector),Employed by an employer (in the private or public sector),5000 to 10000 UAH,5000 to 10000 UAH
4810455,3096,2,Daughter/Son,,No,Male,29,Higher (master degree or PhD),Yes,Yes,Another village in the same Rayon,"Work based on engagement contract, author contract","Work based on engagement contract, author contract",,
4810455,3096,3,Daughter/Son,,No,Female,25,Base higher (bachelor degree),Yes,Yes,This village,Housewife (incl. maternity leave),Unemployed (seeking for job),Up to 2 000 UAH,No income
4810455,3096,4,Other (specify),son-in-law,No,Male,26,Higher (master degree or PhD),Yes,Yes,This village,"Work based on engagement contract, author contract",Employed by an employer (in the private or public sector),,
4810474,2003,1,1,,Yes,Male,63,Higher (master degree or PhD),Yes,No,This village,Housewife (incl. maternity leave),Housewife (incl. maternity leave),More than 15000 UAH,More than 15000 UAH
4810474,2003,2,Daughter/Son,,No,Male,38,Base higher (bachelor degree),No,No,This village,"Supporting members in the family enterprise, shop, farm","Supporting members in the family enterprise, shop, farm",More than 15000 UAH,More than 15000 UAH
4810474,2003,3,Daughter/Son,,No,Male,33,Higher (master degree or PhD),Yes,Yes,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",More than 15000 UAH,More than 15000 UAH
4810531,3364,1,1,,No,Female,45,Higher (master degree or PhD),Yes,Yes,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",More than 15000 UAH,More than 15000 UAH
4810531,3364,2,Spouse,,Yes,Male,47,Higher (master degree or PhD),Yes,No,This village,"Work based on engagement contract, author contract","Work based on engagement contract, author contract",More than 15000 UAH,More than 15000 UAH
4810551,2372,1,1,,Yes,Male,59,Complete secondary school,,No,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",10000 to 15000 UAH,10000 to 15000 UAH
4810551,2372,2,Spouse,,No,Female,53,Complete secondary school,No,Yes,This village,Employed by an employer (in the private or public sector),Employed by an employer (in the private or public sector),5000 to 10000 UAH,5000 to 10000 UAH
4810637,484,1,1,,Yes,Male,48,Complete secondary school,Yes,Yes,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",,
4810637,484,2,Spouse,,No,Female,48,Complete secondary school,Yes,Yes,This village,Housewife (incl. maternity leave),Housewife (incl. maternity leave),5000 to 10000 UAH,5000 to 10000 UAH
4810637,484,3,Mother/Farther,,No,Female,72,Complete secondary school,No,No,This village,Pensioner,Pensioner,2000 to 5000 UAH,2000 to 5000 UAH
4810637,484,4,Daughter/Son,,No,Male,28,"Vocational school (PTU, lyceum)",Yes,Yes,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)",Unemployed (seeking for job),No income,No income
4810637,484,5,Daughter/Son,,No,Male,23,Base higher (bachelor degree),Yes,Yes,This village,Employed by an employer (in the private or public sector),Unemployed (seeking for job),5000 to 10000 UAH,No income
4810660,3385,1,1,,Yes,Female,55,Higher (master degree or PhD),Yes,Yes,This village,Employed by an employer (in the private or public sector),Employed by an employer (in the private or public sector),5000 to 10000 UAH,5000 to 10000 UAH
4810660,3385,2,Spouse,,No,Male,58,Complete secondary school,Yes,No,This village,"Work based on engagement contract, author contract","Work based on engagement contract, author contract",2000 to 5000 UAH,2000 to 5000 UAH
4810660,3385,3,Daughter/Son,,No,Male,30,Base higher (bachelor degree),Yes,Yes,Another village in the same Rayon,"Work based on engagement contract, author contract","Work based on engagement contract, author contract",2000 to 5000 UAH,2000 to 5000 UAH
4810667,2509,1,1,,No,Male,46,Higher (master degree or PhD),Yes,Yes,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",More than 15000 UAH,10000 to 15000 UAH
4810667,2509,2,Spouse,,Yes,Female,48,Higher (master degree or PhD),Yes,Yes,This village,Housewife (incl. maternity leave),Housewife (incl. maternity leave),No income,No income
4810667,2509,3,Mother-in-law/Father-in-law,,No,Male,76,Higher (master degree or PhD),Yes,No,This village,Pensioner,Pensioner,2000 to 5000 UAH,2000 to 5000 UAH
4810667,2509,4,Daughter/Son,,No,Male,18,Complete secondary school,No,Yes,This village,Student,Student,No income,No income
4810901,2387,1,1,,Yes,Male,46,"Secondary special, incomplete higher (technical school, college)",Yes,Yes,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",5000 to 10000 UAH,5000 to 10000 UAH
4810901,2387,2,Spouse,,Yes,Female,50,"Secondary special, incomplete higher (technical school, college)",Yes,Yes,This village,Unable to work,Unable to work,Up to 2 000 UAH,Up to 2 000 UAH
4810901,2387,3,Daughter/Son,,No,Female,26,Higher (master degree or PhD),,,Different Oblast,Employed by an employer (in the private or public sector),Employed by an employer (in the private or public sector),5000 to 10000 UAH,5000 to 10000 UAH
4810901,2387,4,Daughter/Son,,No,Male,25,"Secondary special, incomplete higher (technical school, college)",,,Different Oblast,Employed by an employer (in the private or public sector),Employed by an employer (in the private or public sector),5000 to 10000 UAH,10000 to 15000 UAH
4810919,4934,1,1,,Yes,Male,56,Complete secondary school,Yes,No,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",,
4810919,4934,2,Spouse,,No,Female,54,Higher (master degree or PhD),No,No,This village,Housewife (incl. maternity leave),Housewife (incl. maternity leave),Up to 2 000 UAH,Up to 2 000 UAH
4810919,4934,3,Daughter/Son,,No,Male,32,"Vocational school (PTU, lyceum)",No,Yes,This village,Employed by an employer (in the private or public sector),Employed by an employer (in the private or public sector),5000 to 10000 UAH,5000 to 10000 UAH
4810919,4934,4,Mother-in-law/Father-in-law,,No,Female,85,Complete secondary school,No,No,This village,Pensioner,Pensioner,2000 to 5000 UAH,2000 to 5000 UAH
4811936,4649,1,1,,Yes,Female,61,"Secondary special, incomplete higher (technical school, college)",Yes,No,This village,"Supporting members in the family enterprise, shop, farm","Supporting members in the family enterprise, shop, farm",2000 to 5000 UAH,2000 to 5000 UAH
4811936,4649,2,Daughter/Son,,No,Male,36,"Vocational school (PTU, lyceum)",Yes,,This village,Employed by an employer (in the private or public sector),Employed by an employer (in the private or public sector),5000 to 10000 UAH,5000 to 10000 UAH
4811936,4649,3,Other (specify),daughter-in-law,Yes,Female,28,"Vocational school (PTU, lyceum)",Yes,,This village,Housewife (incl. maternity leave),Employed by an employer (in the private or public sector),No income,2000 to 5000 UAH
4812238,3681,1,1,,Yes,Male,54,"Secondary special, incomplete higher (technical school, college)",Yes,Yes,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",5000 to 10000 UAH,5000 to 10000 UAH
4812238,3681,2,Spouse,,No,Female,53,"Secondary special, incomplete higher (technical school, college)",Yes,Yes,This village,Housewife (incl. maternity leave),Housewife (incl. maternity leave),5000 to 10000 UAH,5000 to 10000 UAH
4812631,3079,1,1,,Yes,Male,38,Higher (master degree or PhD),Yes,Yes,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",More than 15000 UAH,More than 15000 UAH
4812631,3079,2,Spouse,,No,Female,37,Higher (master degree or PhD),No,Yes,This village,Unemployed (seeking for job),Unemployed (seeking for job),No income,No income
4812741,4938,1,1,,Yes,Female,,Higher (master degree or PhD),Yes,No,This village,Housewife (incl. maternity leave),Housewife (incl. maternity leave),,Up to 2 000 UAH
4812741,4938,2,Spouse,,,Male,,"Vocational school (PTU, lyceum)",Yes,No,This village,Employed by an employer (in the private or public sector),Employed by an employer (in the private or public sector),2000 to 5000 UAH,2000 to 5000 UAH
4812741,4938,3,Mother/Farther,,No,Female,,,,,,,,,
4812794,3490,1,1,,No,Male,28,Higher (master degree or PhD),Yes,Yes,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",More than 15000 UAH,More than 15000 UAH
4812794,3490,2,Spouse,,No,Female,21,Higher (master degree or PhD),No,Yes,This village,Housewife (incl. maternity leave),Housewife (incl. maternity leave),No income,No income
4812794,3490,3,Mother/Farther,,Yes,Male,52,"Secondary special, incomplete higher (technical school, college)",Yes,Yes,This village,"Carrying out independent activity, profession (own business, shop, farm, free profession)","Carrying out independent activity, profession (own business, shop, farm, free profession)",More than 15000 UAH,More than 15000 UAH
4812794,3490,4,Mother/Farther,,No,Female,47,Complete secondary school,Yes,Yes,This village,Pensioner,Pensioner,2000 to 5000 UAH,2000 to 5000 UAH
